"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","当前公司已经存在签约对象","","0","0","3","0","0"
"","当前系统已有合同类型","修改id存在的合同","0","0","1","0","0"
"","当前公司没有分部","","0","0","1","0","0"
"","当前公司没有签约对象","添加签约对象","0","0","1","0","0"
"","当前系统已有合同类型","删除id不存在的合同","0","0","1","0","0"
"","日程功能测试","国庆快乐","0","0","1","0","0"
"","当前公司已经有分部","创建一个新的部门","0","0","1","0","0"
"","当前公司没有签约对象","修改id不存在签约对象","0","0","1","0","0"
"","当前公司没有合同类型","删除id不存在的合同类型","0","0","1","0","0"
"","日程功能测试","中秋佳节","0","0","1","0","0"
"","当前系统有合同","修改id不存在的合同","0","0","1","0","0"
"","当前公司没有签约对象","删除id存在的签约对象","0","0","1","0","0"
"","当前公司已经有分部","修改id不存在的部门","0","0","1","0","0"
"","当前公司已经有分部","删除不存在的id","0","0","1","0","0"
"","当前系统没有合同","创建合同","0","0","1","0","0"
"","当前系统没有合同","修改id不存在的合同","0","0","1","0","0"
"","当前公司没有分部","创建分部","0","0","1","0","0"
"","当前系统已有合同类型","创建合同","0","0","1","0","0"
"","当前系统有合同","创建合同","0","0","1","0","0"
"","当前系统没有合同","删除id存在的合同","0","0","1","0","0"
"","当前公司已经有分部","修改id存在的部门","0","0","1","0","0"
"","当前公司没有合同类型","增加名称不同的合同类型","0","0","1","0","0"
"","当前公司没有合同类型","删除id存在的合同类型","0","0","1","0","0"
"","当前系统有合同","修改id存在的合同","0","0","1","0","0"
